state,huc12,name,area_total_ha,area_cropland_ha,area_perennial_ha,pct_cropland,pct_perennial
CA,180201630601,Tremont Cemetery,10050.8,9008.8,546.7,89.6,5.4
CA,180201630602,Tremont School,8050.4,6134.7,1261.3,76.2,15.7
CA,180201630603,Barker Slough,4546.5,1284.8,2254.6,28.3,49.6
CA,180201630605,Watson Hollow,9710.3,4811.2,3947.9,49.5,40.7
CA,180201630606,Toe Drain-Cache Slough,66136.0,49962.4,5091.2,75.5,7.7
CA,180201630702,Beaver Lake-Sacramento River,11503.5,10098.6,88.3,87.8,0.8
CA,180201630703,Threemile Slough-Sacramento River,24950.6,11310.6,8836.9,45.3,35.4
CA,180300030602,180300030602,12115.4,4489.6,7275.9,37.1,60.1
CA,180300030604,Lake Paulina,20411.8,14155.1,4617.0,69.3,22.6
CA,180300030903,180300030903,5453.1,3873.0,1403.6,71.0,25.7
CA,180300031000,Caparell Creek-Frontal Kern Lake Bed,27821.5,22079.2,4110.7,79.4,14.8
CA,180300031104,Telegraph Canyon-Frontal Kern Lake Bed,15507.2,6724.3,8222.6,43.4,53.0
CA,180300031201,Kern Island Canal-Frontal Kern Lake Bed,55068.8,29242.7,6039.8,53.1,11.0
CA,180300031202,Pleitito Creek-Frontal Kern Lake Bed,11600.3,4560.8,6667.4,39.3,57.5
CA,180300031203,Stine Canal-Frontal Kern Lake Bed,15185.0,11556.8,405.8,76.1,2.7
CA,180300031204,Kern Lake Bed,6569.2,6084.3,18.1,92.6,0.3
CA,180300031303,Buena Vista Canal-Frontal Buena Vista Lake Bed ,12053.0,5363.0,3448.5,44.5,28.6
CA,180300031304,Maple Canal-Frontal Buena Vista Lake Bed,13335.7,10644.8,1343.0,79.8,10.1
CA,180300031406,Muddy Creek-Frontal Buena Vista Lake Bed,27716.8,11126.5,14817.2,40.1,53.5
CA,180300031602,Buena Vista Lake Bed,8122.4,7574.4,195.8,93.3,2.4
CA,180300040307,Town of Famoso-Poso Creek,4464.1,4144.2,100.4,92.8,2.2
CA,180300040401,180300040401,12534.9,11488.5,1.3,91.7,0.0
CA,180300040402,180300040402-Poso Creek,7600.9,7188.9,109.7,94.6,1.4
CA,180300040403,180300040403,10616.5,9967.5,3.9,93.9,0.0
CA,180300040404,Town of Wasco-Poso Creek,15309.1,13607.9,60.7,88.9,0.4
CA,180300040405,Sage Brush Well-Poso Creek,8896.0,5077.3,3154.8,57.1,35.5
CA,180300050403,Lower Fountain Springs Gulch,7951.8,3546.6,3736.3,44.6,47.0
CA,180300050502,Hockett Well,7781.8,3606.9,4065.0,46.4,52.2
CA,180300050503,Town of Vestal-White River,8247.9,5485.1,2480.5,66.5,30.1
CA,180300050602,Big Four Ranch 737 Dam,4445.6,3594.1,686.2,80.8,15.4
CA,180300050603,Town of McFarland,11061.2,9211.9,807.1,83.3,7.3
CA,180300050604,Lake Woollomes,14024.2,9587.1,3400.9,68.4,24.3
CA,180300050605,180300050605,13940.9,11218.6,841.9,80.5,6.0
CA,180300050701,Old Channel Poso Creek,11485.6,10455.1,465.8,91.0,4.1
CA,180300050702,Alpaugh Irrigation District Canal,24408.3,15381.1,8156.9,63.0,33.4
CA,180300050801,180300050801,5579.9,3531.5,477.5,63.3,8.6
CA,180300050802,Town of Richgrove,13063.0,11131.3,1045.8,85.2,8.0
CA,180300050803,Town of Earlimart,6908.5,5928.4,293.6,85.8,4.2
CA,180300050804,Town of Allensworth,16267.8,12647.9,2712.1,77.7,16.7
CA,180300050901,Town of Terra Bella-Deer Creek,11770.9,8542.7,2291.7,72.6,19.5
CA,180300050902,Town of Ducor-Deer Creek,13667.0,12860.5,150.1,94.1,1.1
CA,180300050903,Town of Pixley-Deer Creek,20161.5,17574.7,955.1,87.2,4.7
CA,180300050904,Old Deer Creek Channel-Deer Creek,14256.8,12350.4,346.9,86.6,2.4
