state,huc12,name,area_total_ha,area_cropland_ha,area_perennial_ha,pct_cropland,pct_perennial
IA,070600060901,Headwaters Deep Creek,10479.5,8597.2,140.4,82.0,1.3
IA,070600060902,Sugar Creek,6913.6,3871.2,794.6,56.0,11.5
IA,070600060903,Copper Creek,5778.9,4128.5,258.9,71.4,4.5
IA,070600060904,Deep Creek,12716.4,9309.1,872.4,73.2,6.9
IA,070600061001,Pumpkin Creek-Maquoketa River,5649.0,2393.4,1331.5,42.4,23.6
IA,070600061002,Elwood Creek,5866.6,4902.8,99.5,83.6,1.7
IA,070600061003,Union Creek-Prairie Creek,8010.0,5285.4,513.8,66.0,6.4
IA,070600061004,Brush Creek,10461.0,5424.4,1812.1,51.9,17.3
IA,070600061005,Hainer Creek-Maquoketa River,8763.8,3453.8,2229.4,39.4,25.4
IA,070600061006,Rock Creek-Maquoketa River,5334.6,2710.3,969.1,50.8,18.2
IA,070600061007,Maquoketa River,8879.5,4170.7,2125.1,47.0,23.9
IA,070801010202,Mill Creek,11283.5,7388.8,597.9,65.5,5.3
IA,070801010301,Upper Duck Creek,9167.4,6295.8,185.8,68.7,2.0
IA,070801010401,Rock Creek,6804.4,4499.3,722.8,66.1,10.6
IA,070801010403,Spencer Creek,5062.6,3829.4,181.9,75.6,3.6
IA,070801010405,Crow Creek,4836.9,2262.5,159.7,46.8,3.3
IA,070801010602,Pine Creek,10284.7,5176.7,1830.8,50.3,17.8
IA,070801010604,Mad Creek,4422.6,1707.9,504.9,38.6,11.4
IA,070801010701,Upper Muscatine Slough,7352.3,3904.7,1231.6,53.1,16.8
IA,070801010702,Lower Muscatine Slough,10499.4,5845.5,2481.8,55.7,23.6
IA,070801020101,Elk Creek,4527.2,3833.6,98.5,84.7,2.2
IA,070801020102,Mead Creek-Little Wapsipinicon River,13137.0,11100.2,392.8,84.5,3.0
IA,070801020103,Spring Branch-Little Wapsipinicon River,14827.0,11951.6,574.6,80.6,3.9
IA,070801020202,Watsons Creek-Wapsipinicon River,14021.2,10898.9,1075.1,77.7,7.7
IA,070801020203,Village of Deerfield-Wapsipinicon River,7779.6,6575.9,434.8,84.5,5.6
IA,070801020204,Town of Ionia-Wapsipinicon River,9690.3,7477.9,1191.4,77.2,12.3
IA,070801020301,Upper East Fork Wapsipinicon River,13479.4,11754.8,372.7,87.2,2.8
IA,070801020302,Middle East Fork Wapsipinicon River,15314.5,13122.8,591.2,85.7,3.9
IA,070801020303,Lower East Fork Wapsipinicon River,9918.1,7441.4,1509.1,75.0,15.2
IA,070801020401,Upper Crane Creek,12429.0,11083.9,219.8,89.2,1.8
IA,070801020402,Middle Crane Creek,7685.0,6849.4,77.0,89.1,1.0
IA,070801020403,Lower Crane Creek,6299.6,5294.5,297.7,84.0,4.7
IA,070801020501,Spring Creek-Little Wapsipinicon River,12493.9,10834.9,350.1,86.7,2.8
IA,070801020502,Stoe Creek-Little Wapsipinicon River,8804.3,7440.5,337.1,84.5,3.8
IA,070801020503,Community of Oran-Little Wapsipinicon River,7648.1,6217.4,503.6,81.3,6.6
IA,070801020504,Buck Creek,15187.9,13229.8,436.6,87.1,2.9
IA,070801020505,City of Fairbank-Little Wapsipinicon River,10281.4,7998.8,634.7,77.8,6.2
IA,070801020601,Etter Creek-Wapsipinicon River,15173.9,11320.0,2020.3,74.6,13.3
IA,070801020602,City of Tripoli-Wapsipinicon River,8985.6,5964.4,1572.7,66.4,17.5
IA,070801020603,Bruggeman County Park-Wapsipinicon River,8542.0,5349.1,1532.9,62.6,17.9
IA,070801020604,Camp Creek-Wapsipinicon River,6611.5,5271.1,533.0,79.7,8.1
IA,070801020701,Headwaters Otter Creek,8547.1,7485.7,132.1,87.6,1.5
IA,070801020702,Hazleton Creek-Otter Creek,5357.3,3148.1,427.6,58.8,8.0
IA,070801020703,Hunter Creek,6170.7,5210.0,149.6,84.4,2.4
IA,070801020704,Otter Creek,7835.0,5871.9,639.4,74.9,8.2
IA,070801020801,Townof Littleton-Wapsipinicon River,4831.8,3656.7,522.2,75.7,10.8
IA,070801020802,Pine Creek,11194.7,9358.4,453.5,83.6,4.1
IA,070801020803,Malone Creek-Wapsipinicon River,15825.8,10651.8,1548.1,67.3,9.8
IA,070801020804,Sand Creek,4828.2,4340.9,91.5,89.9,1.9
IA,070801020805,Smith Creek-Wapsipinicon River,8543.5,6971.8,485.5,81.6,5.7
IA,070801020806,Dry Creek-Wapsipinicon River,8712.7,7144.2,554.2,82.0,6.4
IA,070801020901,West Branch Buffalo Creek,5553.4,5029.6,61.0,90.6,1.1
IA,070801020902,East Branch Buffalo Creek,8288.4,7188.6,280.7,86.7,3.4
IA,070801020903,Fremont Cemetery-Buffalo Creek,8594.6,7354.4,256.2,85.6,3.0
IA,070801020904,Silver Creek-Buffalo Creek,11491.6,10194.3,435.7,88.7,3.8
IA,070801020905,Nugents Creek-Buffalo Creek,12342.0,9892.1,638.8,80.1,5.2
IA,070801020906,Helmer Creek-Buffalo Creek,13613.9,9150.0,2044.9,67.2,15.0
IA,070801021001,Walton Creek-Wapsipinicon River,9442.0,6110.6,1604.1,64.7,17.0
IA,070801021002,Heatons Creek-Wapsipinicon River,9956.5,5997.1,1708.6,60.2,17.2
IA,070801021003,Crows Creek-Wapsipinicon River,11113.7,4315.9,3800.8,38.8,34.2
IA,070801030101,South Fork Walnut Creek,4172.7,3652.7,89.6,87.5,2.1
IA,070801030102,Pioneer Creek,5568.1,4651.6,87.8,83.5,1.6
IA,070801030103,Sibles Creek,4329.9,3829.7,12.4,88.4,0.3
IA,070801030104,White Oak Creek-Walnut Creek,11350.1,9417.7,342.8,83.0,3.0
IA,070801030201,Dutch Creek-Wapsipinicon River,15538.0,7378.4,2845.1,47.5,18.3
IA,070801030202,Mill Creek,8873.8,7619.2,301.0,85.9,3.4
IA,070801030203,West Goose Lake-Wapsipinicon River,9176.2,5498.8,1339.3,59.9,14.6
IA,070801030301,Hickory Creek,11907.7,10453.9,66.2,87.8,0.6
IA,070801030302,City of Donahue,4854.4,4336.6,18.8,89.3,0.4
IA,070801030303,Mud Creek,14509.2,12249.1,595.9,84.4,4.1
IA,070801030401,Plum Creek-Wapsipinicon River,11051.3,8353.7,1145.2,75.6,10.4
IA,070801030402,City of Lost Nation,6433.4,5149.5,307.9,80.0,4.8
IA,070801030403,City of Toronto-Wapsipinicon River,6101.5,4639.0,799.2,76.0,13.1
IA,070801030404,Calamus Creek,4499.5,3842.7,161.0,85.4,3.6
IA,070801030405,Mockridge County Wildlife Preserve,10363.9,8886.1,628.8,85.7,6.1
IA,070801030406,Yankee Run,15386.0,12355.1,563.5,80.3,3.7
IA,070801030407,Rock Creek,9821.5,8005.6,482.8,81.5,4.9
IA,070801030408,Walnut Creek,4133.2,3143.0,178.7,76.0,4.3
IA,070801030409,Sherman Park-Wapsipinicon River,8908.4,4944.1,2493.4,55.5,28.0
IA,070801030501,Cherry Creek,7798.2,6514.3,336.6,83.5,4.3
IA,070801030502,Brophy Creek,15370.3,12731.4,660.1,82.8,4.3
IA,070801030601,Negro Creek-Silver Creek,7681.7,6687.4,91.8,87.1,1.2
IA,070801030602,Silver Creek,8022.1,5831.3,484.9,72.7,6.0
IA,070801030603,Barber Creek-Wapsipinicon River,15075.9,11168.4,2168.2,74.1,14.4
IA,070801030604,Ames Creek,6777.7,5602.0,220.9,82.7,3.3
IA,070801030605,McDonald Creek-Wapsipinicon River,5987.2,3314.5,1187.5,55.4,19.8
IA,070801030606,Lost Creek,8716.7,6667.0,549.2,76.5,6.3
IA,070801030607,Wapsipinicon River,11774.4,6273.4,3487.7,53.3,29.6
IA,070801040601,Iowa Slough,10087.4,8220.3,816.6,81.5,8.1
IA,070801040602,Hawkeye-Dolbee Diversion Channel,6793.6,3372.0,1373.8,49.6,20.2
IA,070801041101,Cottonwood Drain,9567.4,7575.3,991.2,79.2,10.4
IA,070801041102,Yellow Spring Creek,7089.6,2766.2,2597.1,39.0,36.6
IA,070801041201,Cedar Fork Creek,8294.3,6835.9,494.9,82.4,6.0
IA,070801041202,Headwaters Flint Creek,8320.9,4774.0,1250.8,57.4,15.0
IA,070801041203,Big Hollow-Flint Creek,9301.7,5207.7,1980.6,56.0,21.3
IA,070801041204,Flint Creek,12620.8,4281.8,4225.6,33.9,33.5
IA,070801041503,Spring Creek,5912.4,2083.2,1465.4,35.2,24.8
IA,070801041504,Skunk Slough,4138.9,1087.6,1426.2,26.3,34.5
IA,070801041601,West Branch Sugar Creek,6119.1,4847.5,288.6,79.2,4.7
IA,070801041602,Headwaters Sugar Creek,10797.4,8094.5,559.4,75.0,5.2
IA,070801041603,Painter Creek,4324.8,1695.6,1620.5,39.2,37.5
IA,070801041604,Pitman Creek-Sugar Creek,12504.8,4483.3,3756.7,35.9,30.0
IA,070801041703,Lost Creek,10946.5,5306.0,2342.6,48.5,21.4
IA,070801050101,Rahto Branch Ditch,14893.5,13805.9,36.6,92.7,0.2
IA,070801050102,Ditch Number 71,6088.5,5197.0,159.2,85.4,2.6
IA,070801050201,Headwaters South Skunk River,10767.0,9246.8,100.3,85.9,0.9
IA,070801050202,City of Ellsworth-South Skunk River,6484.7,5336.0,260.4,82.3,4.0
IA,070801050301,Crooked Creek,4705.6,4210.3,13.8,89.5,0.3
IA,070801050302,Headwaters Ioway Creek,9862.8,9050.8,15.0,91.8,0.2
IA,070801050303,Montgomery Creek,8763.3,7207.3,183.0,82.2,2.1
IA,070801050304,Community of Mackey-Ioway Creek,10595.2,8748.6,236.4,82.6,2.2
IA,070801050305,Onion Creek,5157.3,4043.7,251.3,78.4,4.9
IA,070801050306,Lundys Creek-Ioway Creek,11001.2,8610.6,560.0,78.3,5.1
IA,070801050307,Worrell Creek-Ioway Creek,9422.8,5042.9,454.8,53.5,4.8
IA,070801050401,Long Dick Creek,9542.9,8628.8,87.0,90.4,0.9
IA,070801050402,Miller Creek-South Skunk River,8520.9,6736.2,343.9,79.1,4.0
IA,070801050403,Bear Creek,7491.3,6386.6,189.0,85.3,2.5
IA,070801050404,Headwaters Keigley Branch,7334.1,6690.6,79.1,91.2,1.1
IA,070801050405,Keigley Branch,6177.5,5138.6,145.1,83.2,2.3
IA,070801050406,City of Ames-South Skunk River,7967.3,4073.6,1156.2,51.1,14.5
IA,070801050501,Township of Grant,5356.7,4505.8,41.5,84.1,0.8
IA,070801050502,West Indian Creek,12808.7,10351.0,471.7,80.8,3.7
IA,070801050601,Headwaters East Indian Creek,5402.0,5023.3,3.7,93.0,0.1
IA,070801050602,Community of Fernald-East Indian Creek,10758.3,9480.0,128.5,88.1,1.2
IA,070801050603,Dye Creek,6440.6,5613.9,115.6,87.2,1.8
IA,070801050604,East Indian Creek,10761.8,8091.6,943.7,75.2,8.8
IA,070801050701,Headwaters Clear Creek,9740.2,6952.6,670.7,71.4,6.9
IA,070801050702,Mud Creek-Clear Creek,12084.8,7664.3,934.8,63.4,7.7
IA,070801050801,Calamus Creeks-Indian Creek,9309.9,7648.8,320.0,82.2,3.4
IA,070801050802,Wolf Creek,5390.2,4496.2,157.1,83.4,2.9
IA,070801050803,Peoria Cemetery-Indian Creek,5375.4,4445.2,338.6,82.7,6.3
IA,070801050804,Byers Branch-Indian Creek,4815.5,3538.4,314.1,73.5,6.5
IA,070801050805,Turkey Creek-Indian Creek,8166.3,5956.0,509.8,72.9,6.2
IA,070801050901,Walnut Creek,5063.5,4029.5,265.9,79.6,5.3
IA,070801050902,Ballard Creek,7680.7,5705.1,385.7,74.3,5.0
IA,070801050903,Town of Ames-South Skunk River,9210.2,5804.6,399.2,63.0,4.3
IA,070801050904,Coon Creek-South Skunk River,12712.2,9578.7,928.2,75.4,7.3
IA,070801050905,Old Channel-South Skunk River,8142.9,4968.4,972.7,61.0,11.9
IA,070801050906,Santiago Creek-South Skunk River,6853.8,3409.2,712.3,49.7,10.4
IA,070801050907,Red Rock Creek,6353.9,5624.0,42.8,88.5,0.7
IA,070801050908,Sugar Creek-South Skunk River,10075.7,5085.7,1382.0,50.5,13.7
IA,070801051001,Headwaters Elk Creek,9491.9,6718.9,503.8,70.8,5.3
IA,070801051002,Elk Creek,7011.1,5827.6,282.3,83.1,4.0
IA,070801051101,Prairie Creek,6632.0,4372.2,639.4,65.9,9.6
IA,070801051102,Cherry Creek,8086.5,5120.1,480.6,63.3,5.9
IA,070801051103,Severs Creek-South Skunk River,13893.2,10320.8,810.9,74.3,5.8
IA,070801051104,Carson Creek-South Skunk River,14048.0,10222.6,830.2,72.8,5.9
IA,070801051105,Thunder Creek,7748.3,5172.9,348.1,66.8,4.5
IA,070801051106,Van Zante Creek-South Skunk River,14466.9,11075.6,973.7,76.6,6.7
IA,070801051201,Buckley Creek,9643.5,8299.1,114.8,86.1,1.2
IA,070801051202,Ballinger Creek-South Skunk River,11957.6,9175.7,632.5,76.7,5.3
IA,070801051203,Spring Creek-South Skunk River,14057.0,9351.5,939.5,66.5,6.7
IA,070801051204,Snyder Creek-South Skunk River,10719.4,4903.0,2156.4,45.7,20.1
IA,070801051205,Sugar Creek,5015.4,2396.5,877.3,47.8,17.5
IA,070801051206,Mattix Branch-South Skunk River,9298.5,3109.5,2329.2,33.4,25.0
IA,070801051207,Rock Creek,4793.8,3156.4,645.5,65.8,13.5
IA,070801051208,South Skunk River,13327.6,5984.6,3189.2,44.9,23.9
IA,070801060101,Snipe Creek,10832.2,9263.2,65.7,85.5,0.6
IA,070801060102,Headwaters North Skunk River,13845.3,12057.3,113.4,87.1,0.8
IA,070801060103,Alloway Creek-North Skunk River,13484.1,10646.5,503.2,79.0,3.7
IA,070801060104,Rock Creek,12444.6,8362.0,787.9,67.2,6.3
IA,070801060105,Burr Oak Creek-North Skunk River,9032.6,6456.1,641.4,71.5,7.1
IA,070801060201,Slater Creek,4348.0,3872.3,20.5,89.1,0.5
IA,070801060202,Turner Creek-North Skunk River,6954.8,5185.6,225.6,74.6,3.2
IA,070801060203,Sugar Creek,14535.3,8557.4,1082.2,58.9,7.4
IA,070801060204,City of Lynnville-North Skunk River,4216.3,3076.8,205.1,73.0,4.9
IA,070801060205,English Creek,5477.8,3376.7,237.9,61.6,4.3
IA,070801060206,Stewart Cemetery-North Skunk River,4812.7,3352.9,534.6,69.7,11.1
IA,070801060301,Headwaters Middle Creek,8563.9,7745.1,23.2,90.4,0.3
IA,070801060302,Middle Creek,8544.1,7263.0,246.9,85.0,2.9
IA,070801060401,Buck Creek,11881.4,7368.6,925.2,62.0,7.8
IA,070801060402,Moon Creek,9937.9,4180.2,1572.8,42.1,15.8
IA,070801060403,Village of New Sharon-North Skunk River,6199.1,4085.4,672.7,65.9,10.9
IA,070801060404,Pleasant Creek-North Skunk River,11354.8,6802.0,1283.3,59.9,11.3
IA,070801060501,Coal Creek,5744.8,4060.7,216.8,70.7,3.8
IA,070801060502,Smith Creek-Rock Creek,7401.2,4775.9,471.7,64.5,6.4
IA,070801060503,Cedar Creek,10723.8,8373.1,407.4,78.1,3.8
IA,070801060601,City of Delta-North Skunk River,9358.0,4889.4,1580.9,52.2,16.9
IA,070801060602,Bridge Creek,9891.1,5392.3,887.8,54.5,9.0
IA,070801060603,German Creek,14290.5,8561.2,1678.1,59.9,11.7
IA,070801060604,North Skunk River,12084.9,7722.4,1324.3,63.9,11.0
IA,070801070101,Upper West Fork Crooked Creek,14862.4,13136.4,202.4,88.4,1.4
IA,070801070102,Middle West Fork Crooked Creek,13566.7,9501.5,833.0,70.0,6.1
IA,070801070103,Lower West Fork Crooked Creek,4148.6,2245.4,676.6,54.1,16.3
IA,070801070201,Headwaters East Fork Crooked Creek,10525.9,9429.5,85.8,89.6,0.8
IA,070801070202,Phillips Creek,6144.0,5437.6,36.0,88.5,0.6
IA,070801070203,City of Winfield-East Fork Crooked Creek,6062.2,5450.0,105.3,89.9,1.7
IA,070801070204,East Fork Crooked Creek,8166.8,4945.0,970.4,60.5,11.9
IA,070801070205,Williams Creek,5656.8,3705.0,495.6,65.5,8.8
IA,070801070206,Crooked Creek,4594.8,1304.5,1397.3,28.4,30.4
IA,070801070301,Clear Creek,6155.3,4193.6,482.7,68.1,7.8
IA,070801070302,Dutch Creek,10843.3,7158.9,942.3,66.0,8.7
IA,070801070303,Richland Creek,9494.2,5766.0,1214.9,60.7,12.8
IA,070801070304,Honey Creek,5981.2,3545.9,994.1,59.3,16.6
IA,070801070305,Shockley Cemetery-Skunk River,5315.7,3045.3,1116.0,57.3,21.0
IA,070801070306,Walnut Creek,4568.9,2477.7,614.0,54.2,13.4
IA,070801070307,Indian Creek-Skunk River,12210.8,4955.3,2885.8,40.6,23.6
IA,070801070401,South Walnut Creek,4971.2,2413.5,803.2,48.5,16.2
IA,070801070402,North Walnut Creek,8127.4,5873.4,584.8,72.3,7.2
IA,070801070403,Burr Oak Creek,4903.9,2829.8,776.5,57.7,15.8
IA,070801070404,Rocky Branch-Walnut Creek,8281.7,3710.5,1585.3,44.8,19.1
IA,070801070501,Coon Creek,7798.9,5678.4,530.1,72.8,6.8
IA,070801070502,Competine Creek,10166.9,7649.7,530.6,75.2,5.2
IA,070801070601,Headwaters Cedar Creek,14479.2,13240.3,175.2,91.4,1.2
IA,070801070602,Spring Creek-Cedar Creek,13837.9,11131.2,515.2,80.4,3.7
IA,070801070603,Buckeye Creek,4241.3,2831.0,190.3,66.7,4.5
IA,070801070604,Wolf Creek-Cedar Creek,14984.8,11408.3,900.4,76.1,6.0
IA,070801070701,Rock Creek,6471.7,4783.9,387.1,73.9,6.0
IA,070801070702,Church Creek-Cedar Creek,12058.6,6712.7,1161.1,55.7,9.6
IA,070801070703,Crow Creek,4679.6,1688.7,618.7,36.1,13.2
IA,070801070704,City of Fairfield-Cedar Creek,6129.4,2760.7,1236.1,45.0,20.2
IA,070801070705,Troy Creek,4268.2,2158.6,1010.4,50.6,23.7
IA,070801070706,City of Birmingham-Cedar Creek,4803.7,2137.9,1234.7,44.5,25.7
IA,070801070707,Little Cedar Creek,14492.9,10649.0,1515.1,73.5,10.5
IA,070801070708,Summer Creek-Cedar Creek,14655.1,6668.9,4400.0,45.5,30.0
IA,070801070709,Wolf Creek,7554.9,3255.0,1457.5,43.1,19.3
IA,070801070710,Cedar Creek,6408.3,2207.3,2097.5,34.4,32.7
IA,070801070801,Sugar Creek,5130.8,2700.3,590.3,52.6,11.5
IA,070801070802,Shawnee Creek-Skunk Rvier,5594.8,2509.3,1187.7,44.8,21.2
IA,070801070803,Brush Creek,9151.6,3312.3,1740.4,36.2,19.0
IA,070801070804,Mud Creek-Brush Creek,4580.8,1280.1,1118.6,27.9,24.4
IA,070801070901,Headwaters Big Creek,5560.4,5152.3,13.6,92.7,0.2
IA,070801070902,Brandywine Creek,6191.2,5422.8,150.0,87.6,2.4
IA,070801070903,North Branch Big Creek-Big Creek,10593.4,9047.7,292.0,85.4,2.8
IA,070801070904,City of New London-Brush Creek,5015.5,2011.6,1041.6,40.1,20.8
IA,070801070905,Lynn Creek-Big Creek,15391.4,7304.2,2086.9,47.5,13.6
IA,070801071001,Fish Creek,6451.6,3110.5,1094.0,48.2,17.0
IA,070801071002,Prairie Creek-Skunk River,10997.7,3935.8,3289.6,35.8,29.9
IA,070801071004,Geode Lake-Cedar Creek,4256.5,2530.6,820.4,59.5,19.3
IA,070801071005,Long Creek,6111.4,2983.0,1587.9,48.8,26.0
IA,070801071006,Skunk River,15478.0,4996.7,5481.6,32.3,35.4
IA,070802010401,Ditch Number Eleven,7902.7,7324.2,17.4,92.7,0.2
IA,070802010403,City of Carpenter-Deer Creek,9562.0,8497.8,440.3,88.9,4.6
IA,070802010601,Turtle Creek,5863.9,4988.2,83.4,85.1,1.4
IA,070802010602,Spring Creek,10415.6,9174.6,271.3,88.1,2.6
IA,070802010603,Headwaters Rock Creek,9887.8,9131.2,73.6,92.3,0.7
IA,070802010604,Rock Creek,8252.0,7088.7,421.2,85.9,5.1
IA,070802010605,Sugar Creek-Cedar River,14964.8,10994.9,1000.6,73.5,6.7
IA,070802010801,Burr Oak Creek,7462.5,6828.2,72.3,91.5,1.0
IA,070802010802,Beaver Creek-Little Cedar River,12610.8,10645.9,501.9,84.4,4.0
IA,070802010803,Fish Creek-Little Cedar River,11457.6,9865.0,491.8,86.1,4.3
IA,070802010901,Beaver Creek,4485.9,3593.0,299.8,80.1,6.7
IA,070802010902,Colwell County Park-Little Cedar River,9994.8,6821.6,1023.2,68.3,10.2
IA,070802010903,Outlet Little Cedar River,6100.7,3210.5,993.6,52.6,16.3
IA,070802011001,Skunk Creek-Cedar River,11849.5,8891.2,976.6,75.0,8.2
IA,070802011002,Wildwood Park,5510.7,4722.9,50.7,85.7,0.9
IA,070802011003,Stewart Creek-Cedar River,7985.8,5713.8,589.4,71.5,7.4
IA,070802011004,Gizzard Creek,6584.1,4235.0,425.1,64.3,6.5
IA,070802011005,Bloody Run-Cedar River,8905.4,5229.1,702.3,58.7,7.9
IA,070802011101,Headwaters Quarter Section Run,9241.5,7867.1,192.0,85.1,2.1
IA,070802011102,Baskins Run,6468.8,5184.4,497.7,80.1,7.7
IA,070802011103,Quarter Section Run,6654.5,4708.9,664.8,70.8,10.0
IA,070802011201,Dry Run,6605.2,5788.9,132.4,87.6,2.0
IA,070802011202,Horton Creek,6403.0,5572.5,128.6,87.0,2.0
IA,070802011203,City of Plainfield-Cedar River,9606.7,6279.8,1294.6,65.4,13.5
IA,070802011204,Spring Lake-Cedar River,11684.8,6424.8,1397.2,55.0,12.0
IA,070802011205,City of Janesville-Cedar River,5022.4,3196.3,664.1,63.6,13.2
IA,070802020201,Ditch Number 2,5119.5,4108.8,245.4,80.3,4.8
IA,070802020202,Elk Creek,14755.4,11212.5,1136.7,76.0,7.7
IA,070802020203,City of Northwood-Shell Rock River,5034.4,3760.4,350.6,74.7,7.0
IA,070802020301,City of Plymouth-Beaver Creek,7086.1,6108.8,88.9,86.2,1.3
IA,070802020302,Rock Falls Creek,4241.2,3799.3,96.9,89.6,2.3
IA,070802020303,Ditch Number 53-Shell Rock River,14718.8,12760.6,366.7,86.7,2.5
IA,070802020304,Whiskey Creek-Shell Rock River,13365.5,9848.9,803.3,73.7,6.0
IA,070802020401,Headwaters Coldwater Creek,7921.0,7312.7,73.9,92.3,0.9
IA,070802020402,Palmer Creek,4569.5,3988.9,62.2,87.3,1.4
IA,070802020403,Coldwater Creek,8519.4,7279.6,367.5,85.4,4.3
IA,070802020501,Headwaters Flood Creek,13765.9,12397.9,167.2,90.1,1.2
IA,070802020502,Beaver Creek,4153.5,3788.0,87.8,91.2,2.1
IA,070802020503,Peters Creek-Flood Creek,12778.1,11007.2,507.2,86.1,4.0
IA,070802020504,Flood Creek,8731.7,7762.0,180.6,88.9,2.1
IA,070802020601,Rock Creek-Beaver Creek,9316.9,7908.1,183.6,84.9,2.0
IA,070802020602,Beemis Creek,5835.7,5123.0,83.3,87.8,1.4
IA,070802020603,Ackley Creek,5141.6,4614.7,90.5,89.8,1.8
IA,070802020604,Town of Marble Rock-Shell Rock River,8154.4,6373.0,456.8,78.2,5.6
IA,070802020605,Town of Greene-Shell Rock River,9740.5,7874.0,292.3,80.8,3.0
IA,070802020701,Dry Creek,5361.6,4628.8,116.5,86.3,2.2
IA,070802020702,Town of Fremont-Beaver Creek,13872.6,12237.1,168.7,88.2,1.2
IA,070802020703,Curry Creek,4595.7,4119.8,54.2,89.6,1.2
IA,070802020704,City of Clarksville-Shell Rock River,9141.6,6361.6,958.8,69.6,10.5
IA,070802020705,Klock Creek-Shell Rock River,12349.8,8832.6,1046.2,71.5,8.5
IA,070802030103,Pike Run,11130.8,9725.2,229.8,87.4,2.1
IA,070802030104,Lime Creek,11930.9,9449.5,882.0,79.2,7.4
IA,070802030105,Buffalo Creek,5506.4,4873.9,107.1,88.5,1.9
IA,070802030106,Bear Creek-Winnebago River,13183.3,9749.5,835.4,74.0,6.3
IA,070802030107,Headwaters Beaver Creek,6591.4,4291.5,604.4,65.1,9.2
IA,070802030108,Beaver Creek,9661.0,6796.5,646.6,70.4,6.7
IA,070802030109,Mallard Marsh Swamp-Winnebago River,12985.7,8361.7,1177.8,64.4,9.1
IA,070802030201,Clear Creek,6298.4,2531.9,481.7,40.2,7.6
IA,070802030202,Crane Creek,5262.8,4520.2,77.1,85.9,1.5
IA,070802030203,Cheslea Creek-Willow Creek,14607.5,10075.1,424.2,69.0,2.9
IA,070802030301,Winans Creek,6863.8,6053.1,46.2,88.2,0.7
IA,070802030302,Willow Creek,5437.9,4372.4,221.7,80.4,4.1
IA,070802030303,Wharam Creek,5870.2,4975.3,135.6,84.8,2.3
IA,070802030304,Spring Creek,8668.8,7644.9,134.2,88.2,1.5
IA,070802030305,Calmus Creek,6473.4,5190.4,235.9,80.2,3.6
IA,070802030306,City of Mason City-Winnebago River,8093.3,4352.4,900.5,53.8,11.1
IA,070802030401,Mason Creek-Winnebago River,9855.3,6606.9,419.1,67.0,4.3
IA,070802030402,Winnebago River,8103.9,6355.6,453.1,78.4,5.6
IA,070802040101,Headwaters Bailey Creek,13540.7,11091.1,211.2,81.9,1.6
IA,070802040102,Bailey Creek,10601.6,8771.1,420.0,82.7,4.0
IA,070802040201,West Branch Beaverdam Creek,6350.8,5500.5,100.3,86.6,1.6
IA,070802040202,Headwaters Beaverdam Creek,13253.3,10929.4,301.3,82.5,2.3
IA,070802040203,East Branch Beaverdam Creek,10074.6,8968.9,85.0,89.0,0.8
IA,070802040204,Beaverdam Creek,8541.7,7317.1,323.5,85.7,3.8
IA,070802040301,Buffalo Creek,7582.3,6650.5,98.9,87.7,1.3
IA,070802040302,Headwaters Otter Creek,11038.0,10130.7,58.8,91.8,0.5
IA,070802040303,Spring Creek,10549.1,8886.4,310.4,84.2,2.9
IA,070802040304,Otter Creek,5886.4,4844.2,261.3,82.3,4.4
IA,070802040305,Beeds Creek,6291.4,4957.0,96.7,78.8,1.5
IA,070802040306,Hartgrave Creek,6494.1,5293.8,350.3,81.5,5.4
IA,070802040401,Town of Chapin-West Fork Cedar River,7315.2,6422.5,195.6,87.8,2.7
IA,070802040402,Town of Pittsford-West Fork Cedar River,9314.7,7310.1,702.4,78.5,7.5
IA,070802040501,070802040501,7690.9,6826.1,160.7,88.8,2.1
IA,070802040502,Headwaters Maynes Creek,9408.8,8598.1,95.7,91.4,1.0
IA,070802040503,Drainage Ditch 35-Maynes Creek,7438.2,6084.7,393.0,81.8,5.3
IA,070802040504,Maynes Creek,10550.9,8570.5,433.4,81.2,4.1
IA,070802040601,Parmentar Creek,5592.8,5113.9,61.9,91.4,1.1
IA,070802040602,Boylan Creek,10015.6,8593.5,318.7,85.8,3.2
IA,070802040603,Kilson Creek,6348.6,5439.5,108.6,85.7,1.7
IA,070802040604,Feddeke Creek,5728.9,4934.8,25.2,86.1,0.4
IA,070802040605,Big Marsh Wildlife Area-West Fork Cedar River,10826.0,5870.0,2127.3,54.2,19.7
IA,070802040606,McClure Creek,9754.6,8880.5,62.9,91.0,0.6
IA,070802040607,West Fork Cedar River,12841.5,8778.0,1775.7,68.4,13.8
IA,070802050101,Middle Fork South Beaver Creek,10989.0,9966.1,25.9,90.7,0.2
IA,070802050102,Headwaters South Beaver Creek,14722.7,13304.3,75.0,90.4,0.5
IA,070802050103,South Beaver Creek,5544.3,4841.0,129.3,87.3,2.3
IA,070802050201,Headwaters Beaver Creek,11750.3,10663.1,65.5,90.7,0.6
IA,070802050202,North Beaver Creek,11345.0,10144.9,84.0,89.4,0.7
IA,070802050203,Community of Austinville-Beaver Creek,5707.9,4619.6,170.3,80.9,3.0
IA,070802050204,Gran Creek-Beaver Creek,9327.0,7952.7,207.0,85.3,2.2
IA,070802050301,Johnson Creek,9018.1,8292.6,30.5,92.0,0.3
IA,070802050302,Phelps Creek-Beaver Creek,6102.7,4973.6,243.7,81.5,4.0
